,Date,Area,Rain
231,1990-04-01,Almora,9.018
232,1990-05-01,Almora,67.538
233,1990-06-01,Almora,104.672
234,1990-07-01,Almora,452.686
235,1990-08-01,Almora,351.416
236,1990-09-01,Almora,123.901
237,1990-10-01,Almora,21.053
238,1990-11-01,Almora,11.017
239,1990-12-01,Almora,43.044
240,1991-01-01,Almora,4.788
241,1991-02-01,Almora,24.266
242,1991-03-01,Almora,22.909
243,1991-04-01,Almora,24.997
244,1991-05-01,Almora,66.122
245,1991-06-01,Almora,46.846
246,1991-07-01,Almora,12.545
247,1991-08-01,Almora,296.518
248,1991-09-01,Almora,81.801
249,1991-10-01,Almora,0.343
250,1991-11-01,Almora,5.01
251,1991-12-01,Almora,8.222
252,1992-01-01,Almora,31.924
253,1992-02-01,Almora,42.288
254,1992-03-01,Almora,15.753
255,1992-04-01,Almora,9.154
256,1992-05-01,Almora,28.821
257,1992-06-01,Almora,107.226
258,1992-07-01,Almora,224.329
259,1992-08-01,Almora,290.725
260,1992-09-01,Almora,94.74
261,1992-10-01,Almora,20.476
262,1992-11-01,Almora,23.706
263,1992-12-01,Almora,0.002
264,1993-01-01,Almora,20.408
265,1993-02-01,Almora,12.145
266,1993-03-01,Almora,30.166
267,1993-04-01,Almora,9.831
268,1993-05-01,Almora,40.878
269,1993-06-01,Almora,279.147
270,1993-07-01,Almora,313.894
271,1993-08-01,Almora,110.407
272,1993-09-01,Almora,286.091
273,1993-10-01,Almora,0.354
274,1993-11-01,Almora,0.0
275,1993-12-01,Almora,0.002
276,1994-01-01,Almora,4.14
277,1994-02-01,Almora,2.619
278,1994-03-01,Almora,28.296
279,1994-04-01,Almora,12.792
280,1994-05-01,Almora,40.323
281,1994-06-01,Almora,86.26
282,1994-07-01,Almora,361.611
283,1994-08-01,Almora,345.518
284,1994-09-01,Almora,70.547
285,1994-10-01,Almora,0.561
286,1994-11-01,Almora,0.0
287,1994-12-01,Almora,0.942
288,1995-01-01,Almora,38.65
289,1995-02-01,Almora,43.903
290,1995-03-01,Almora,66.295
291,1995-04-01,Almora,14.932
292,1995-05-01,Almora,5.092
293,1995-06-01,Almora,107.632
294,1995-07-01,Almora,274.101
295,1995-08-01,Almora,466.981
296,1995-09-01,Almora,270.298
297,1995-10-01,Almora,0.836
298,1995-11-01,Almora,16.807
299,1995-12-01,Almora,2.382
300,1996-01-01,Almora,50.164
301,1996-02-01,Almora,37.928
302,1996-03-01,Almora,14.041
303,1996-04-01,Almora,12.431
304,1996-05-01,Almora,38.084
305,1996-06-01,Almora,183.462
306,1996-07-01,Almora,266.386
307,1996-08-01,Almora,336.127
308,1996-09-01,Almora,263.773
309,1996-10-01,Almora,36.916
310,1996-11-01,Almora,0.0
311,1996-12-01,Almora,0.565
312,1997-01-01,Almora,19.715
313,1997-02-01,Almora,7.127
314,1997-03-01,Almora,17.431
315,1997-04-01,Almora,4.393
316,1997-05-01,Almora,43.288
317,1997-06-01,Almora,213.672
318,1997-07-01,Almora,100.339
319,1997-08-01,Almora,257.863
320,1997-09-01,Almora,68.913
321,1997-10-01,Almora,37.911
322,1997-11-01,Almora,13.306
323,1997-12-01,Almora,9.647
324,1998-01-01,Almora,11.041
325,1998-02-01,Almora,26.733
326,1998-03-01,Almora,44.552
327,1998-04-01,Almora,32.52
328,1998-05-01,Almora,23.738
329,1998-06-01,Almora,8.796
330,1998-07-01,Almora,342.75
331,1998-08-01,Almora,472.413
332,1998-09-01,Almora,91.858
333,1998-10-01,Almora,39.051
334,1998-11-01,Almora,5.272
335,1998-12-01,Almora,0.519
336,1999-01-01,Almora,9.555
337,1999-02-01,Almora,8.018
338,1999-03-01,Almora,0.779
339,1999-04-01,Almora,0.886
340,1999-05-01,Almora,28.37
341,1999-06-01,Almora,147.301
342,1999-07-01,Almora,121.38
343,1999-08-01,Almora,115.625
344,1999-09-01,Almora,188.254
345,1999-10-01,Almora,36.745
346,1999-11-01,Almora,0.164
347,1999-12-01,Almora,9.387
348,2000-01-01,Almora,11.797
349,2000-02-01,Almora,52.851
350,2000-03-01,Almora,11.472
351,2000-04-01,Almora,5.529
352,2000-05-01,Almora,45.787
353,2000-06-01,Almora,222.563
354,2000-07-01,Almora,193.082
355,2000-08-01,Almora,304.371
356,2000-09-01,Almora,96.823
357,2000-10-01,Almora,0.552
358,2000-11-01,Almora,0.0
359,2000-12-01,Almora,0.24
360,1971-01-01,Bageshwar,25.961
361,1971-02-01,Bageshwar,28.344
362,1971-03-01,Bageshwar,23.107
363,1971-04-01,Bageshwar,25.508
364,1971-05-01,Bageshwar,129.18
365,1971-06-01,Bageshwar,222.978
366,1971-07-01,Bageshwar,458.942
367,1971-08-01,Bageshwar,357.751
368,1971-09-01,Bageshwar,280.537
369,1971-10-01,Bageshwar,176.33
370,1971-11-01,Bageshwar,14.904
371,1971-12-01,Bageshwar,0.398
372,1972-01-01,Bageshwar,14.813
373,1972-02-01,Bageshwar,42.158
374,1972-03-01,Bageshwar,12.365
375,1972-04-01,Bageshwar,32.952
376,1972-05-01,Bageshwar,14.427
377,1972-06-01,Bageshwar,94.074
378,1972-07-01,Bageshwar,383.302
379,1972-08-01,Bageshwar,272.235
380,1972-09-01,Bageshwar,425.162
381,1972-10-01,Bageshwar,75.103
382,1972-11-01,Bageshwar,7.339
383,1972-12-01,Bageshwar,2.086
384,1973-01-01,Bageshwar,34.394
385,1973-02-01,Bageshwar,24.649
386,1973-03-01,Bageshwar,31.465
387,1973-04-01,Bageshwar,0.644
388,1973-05-01,Bageshwar,38.305
389,1973-06-01,Bageshwar,344.057
390,1973-07-01,Bageshwar,196.309
391,1973-08-01,Bageshwar,420.259
392,1973-09-01,Bageshwar,129.167
393,1973-10-01,Bageshwar,128.132
394,1973-11-01,Bageshwar,0.085
395,1973-12-01,Bageshwar,0.105
396,1974-01-01,Bageshwar,23.371
397,1974-02-01,Bageshwar,22.873
398,1974-03-01,Bageshwar,8.213
399,1974-04-01,Bageshwar,4.017
400,1974-05-01,Bageshwar,45.55
401,1974-06-01,Bageshwar,124.373
402,1974-07-01,Bageshwar,265.733
403,1974-08-01,Bageshwar,198.461
404,1974-09-01,Bageshwar,69.875
405,1974-10-01,Bageshwar,16.521
406,1974-11-01,Bageshwar,0.014
407,1974-12-01,Bageshwar,28.126
408,1975-01-01,Bageshwar,80.731
409,1975-02-01,Bageshwar,32.65
410,1975-03-01,Bageshwar,38.47
411,1975-04-01,Bageshwar,6.599
412,1975-05-01,Bageshwar,12.101
413,1975-06-01,Bageshwar,170.691
414,1975-07-01,Bageshwar,336.257
415,1975-08-01,Bageshwar,357.452
416,1975-09-01,Bageshwar,307.708
417,1975-10-01,Bageshwar,33.609
418,1975-11-01,Bageshwar,0.0
419,1975-12-01,Bageshwar,0.094
420,1976-01-01,Bageshwar,4.2
421,1976-02-01,Bageshwar,67.785
422,1976-03-01,Bageshwar,14.093
423,1976-04-01,Bageshwar,34.608
424,1976-05-01,Bageshwar,26.117
425,1976-06-01,Bageshwar,272.459
426,1976-07-01,Bageshwar,239.052
427,1976-08-01,Bageshwar,593.577
428,1976-09-01,Bageshwar,69.679
429,1976-10-01,Bageshwar,7.614
430,1976-11-01,Bageshwar,0.0
431,1976-12-01,Bageshwar,0.947
432,1977-01-01,Bageshwar,44.172
433,1977-02-01,Bageshwar,6.671
434,1977-03-01,Bageshwar,2.753
435,1977-04-01,Bageshwar,57.165
436,1977-05-01,Bageshwar,102.927
437,1977-06-01,Bageshwar,267.656
438,1977-07-01,Bageshwar,364.075
439,1977-08-01,Bageshwar,198.403
440,1977-09-01,Bageshwar,144.921
441,1977-10-01,Bageshwar,13.436
442,1977-11-01,Bageshwar,0.413
443,1977-12-01,Bageshwar,20.677
444,1978-01-01,Bageshwar,7.15
445,1978-02-01,Bageshwar,15.293
446,1978-03-01,Bageshwar,70.486
447,1978-04-01,Bageshwar,19.244
448,1978-05-01,Bageshwar,7.65
449,1978-06-01,Bageshwar,157.78
450,1978-07-01,Bageshwar,271.441
451,1978-08-01,Bageshwar,421.596
452,1978-09-01,Bageshwar,276.922
453,1978-10-01,Bageshwar,15.624
454,1978-11-01,Bageshwar,5.734
455,1978-12-01,Bageshwar,9.294
456,1979-01-01,Bageshwar,26.756
457,1979-02-01,Bageshwar,54.959
458,1979-03-01,Bageshwar,35.826
459,1979-04-01,Bageshwar,17.374
460,1979-05-01,Bageshwar,65.817
461,1979-06-01,Bageshwar,73.024
462,1979-07-01,Bageshwar,261.896
463,1979-08-01,Bageshwar,177.882
464,1979-09-01,Bageshwar,70.614
465,1979-10-01,Bageshwar,4.705
466,1979-11-01,Bageshwar,20.494
467,1979-12-01,Bageshwar,9.184
468,1980-01-01,Bageshwar,8.529
469,1980-02-01,Bageshwar,35.786
470,1980-03-01,Bageshwar,53.912
471,1980-04-01,Bageshwar,7.859
472,1980-05-01,Bageshwar,25.739
473,1980-06-01,Bageshwar,230.715
474,1980-07-01,Bageshwar,668.748
475,1980-08-01,Bageshwar,435.172
476,1980-09-01,Bageshwar,330.268
477,1980-10-01,Bageshwar,45.617
478,1980-11-01,Bageshwar,1.67
479,1980-12-01,Bageshwar,7.12
480,1981-01-01,Bageshwar,44.656
481,1981-02-01,Bageshwar,18.338
482,1981-03-01,Bageshwar,70.347
483,1981-04-01,Bageshwar,15.836
484,1981-05-01,Bageshwar,86.99
485,1981-06-01,Bageshwar,125.059
486,1981-07-01,Bageshwar,478.118
487,1981-08-01,Bageshwar,157.898
488,1981-09-01,Bageshwar,94.64
489,1981-10-01,Bageshwar,0.421
490,1981-11-01,Bageshwar,32.364
491,1981-12-01,Bageshwar,2.726
492,1982-01-01,Bageshwar,33.697
493,1982-02-01,Bageshwar,14.722
494,1982-03-01,Bageshwar,98.713
495,1982-04-01,Bageshwar,43.559
496,1982-05-01,Bageshwar,66.266
497,1982-06-01,Bageshwar,45.485
498,1982-07-01,Bageshwar,202.261
499,1982-08-01,Bageshwar,447.072
500,1982-09-01,Bageshwar,75.438
501,1982-10-01,Bageshwar,20.403
502,1982-11-01,Bageshwar,2.739
503,1982-12-01,Bageshwar,17.773
504,1983-01-01,Bageshwar,69.348
505,1983-02-01,Bageshwar,14.696
506,1983-03-01,Bageshwar,45.201
507,1983-04-01,Bageshwar,91.805
508,1983-05-01,Bageshwar,82.379
509,1983-06-01,Bageshwar,266.241
510,1983-07-01,Bageshwar,324.607
511,1983-08-01,Bageshwar,170.735
512,1983-09-01,Bageshwar,391.326
513,1983-10-01,Bageshwar,48.698
514,1983-11-01,Bageshwar,0.0
515,1983-12-01,Bageshwar,11.59
516,1984-01-01,Bageshwar,13.842
517,1984-02-01,Bageshwar,112.255
518,1984-03-01,Bageshwar,8.285
519,1984-04-01,Bageshwar,30.39
520,1984-05-01,Bageshwar,1.677
521,1984-06-01,Bageshwar,191.373
522,1984-07-01,Bageshwar,274.93
523,1984-08-01,Bageshwar,226.582
524,1984-09-01,Bageshwar,120.617
525,1984-10-01,Bageshwar,3.684
526,1984-11-01,Bageshwar,0.0
527,1984-12-01,Bageshwar,10.884
528,1985-01-01,Bageshwar,34.152
529,1985-02-01,Bageshwar,2.302
530,1985-03-01,Bageshwar,6.718
531,1985-04-01,Bageshwar,36.158
532,1985-05-01,Bageshwar,49.77
533,1985-06-01,Bageshwar,196.788
534,1985-07-01,Bageshwar,471.154
535,1985-08-01,Bageshwar,339.778
536,1985-09-01,Bageshwar,173.808
537,1985-10-01,Bageshwar,117.458
538,1985-11-01,Bageshwar,0.0
539,1985-12-01,Bageshwar,48.452
540,1986-01-01,Bageshwar,4.109
541,1986-02-01,Bageshwar,32.381
542,1986-03-01,Bageshwar,24.202
543,1986-04-01,Bageshwar,37.036
544,1986-05-01,Bageshwar,93.232
545,1986-06-01,Bageshwar,77.315
546,1986-07-01,Bageshwar,487.065
547,1986-08-01,Bageshwar,200.13
548,1986-09-01,Bageshwar,246.26
549,1986-10-01,Bageshwar,38.517
550,1986-11-01,Bageshwar,10.435
551,1986-12-01,Bageshwar,78.811
552,1987-01-01,Bageshwar,32.847
553,1987-02-01,Bageshwar,37.46
554,1987-03-01,Bageshwar,9.173
555,1987-04-01,Bageshwar,14.64
556,1987-05-01,Bageshwar,90.589
557,1987-06-01,Bageshwar,10.491
558,1987-07-01,Bageshwar,83.599
559,1987-08-01,Bageshwar,273.019
560,1987-09-01,Bageshwar,76.081
561,1987-10-01,Bageshwar,15.851
562,1987-11-01,Bageshwar,0.0
563,1987-12-01,Bageshwar,19.616
564,1988-01-01,Bageshwar,9.405
565,1988-02-01,Bageshwar,38.332
566,1988-03-01,Bageshwar,32.468
567,1988-04-01,Bageshwar,36.378
568,1988-05-01,Bageshwar,29.958
569,1988-06-01,Bageshwar,163.592
570,1988-07-01,Bageshwar,570.829
571,1988-08-01,Bageshwar,426.008
572,1988-09-01,Bageshwar,114.911
573,1988-10-01,Bageshwar,1.811
574,1988-11-01,Bageshwar,1.062
575,1988-12-01,Bageshwar,26.911
576,1989-01-01,Bageshwar,73.73
577,1989-02-01,Bageshwar,17.244
578,1989-03-01,Bageshwar,25.227
579,1989-04-01,Bageshwar,2.994
580,1989-05-01,Bageshwar,36.049
581,1989-06-01,Bageshwar,172.869
582,1989-07-01,Bageshwar,311.75
583,1989-08-01,Bageshwar,247.907
584,1989-09-01,Bageshwar,129.706
585,1989-10-01,Bageshwar,8.759
586,1989-11-01,Bageshwar,5.075
587,1989-12-01,Bageshwar,8.865
588,1990-01-01,Bageshwar,1.795
589,1990-02-01,Bageshwar,77.622
590,1990-03-01,Bageshwar,52.288
591,1990-04-01,Bageshwar,12.218
592,1990-05-01,Bageshwar,118.349
593,1990-06-01,Bageshwar,109.039
594,1990-07-01,Bageshwar,447.198
595,1990-08-01,Bageshwar,341.285
596,1990-09-01,Bageshwar,118.198
597,1990-10-01,Bageshwar,23.532
598,1990-11-01,Bageshwar,13.379
599,1990-12-01,Bageshwar,48.522
600,1991-01-01,Bageshwar,6.935
601,1991-02-01,Bageshwar,28.741
602,1991-03-01,Bageshwar,29.643
603,1991-04-01,Bageshwar,34.84
604,1991-05-01,Bageshwar,87.522
605,1991-06-01,Bageshwar,54.718
606,1991-07-01,Bageshwar,8.029
607,1991-08-01,Bageshwar,264.845
608,1991-09-01,Bageshwar,96.745
609,1991-10-01,Bageshwar,0.405
610,1991-11-01,Bageshwar,4.75
611,1991-12-01,Bageshwar,9.205
612,1992-01-01,Bageshwar,38.437
613,1992-02-01,Bageshwar,57.761
614,1992-03-01,Bageshwar,26.907
615,1992-04-01,Bageshwar,12.952
616,1992-05-01,Bageshwar,36.108
617,1992-06-01,Bageshwar,120.953
618,1992-07-01,Bageshwar,249.203
619,1992-08-01,Bageshwar,264.842
620,1992-09-01,Bageshwar,87.855
621,1992-10-01,Bageshwar,22.489
622,1992-11-01,Bageshwar,30.754
623,1992-12-01,Bageshwar,0.094
624,1993-01-01,Bageshwar,24.516
625,1993-02-01,Bageshwar,17.709
626,1993-03-01,Bageshwar,41.656
627,1993-04-01,Bageshwar,14.679
628,1993-05-01,Bageshwar,50.218
629,1993-06-01,Bageshwar,302.283
630,1993-07-01,Bageshwar,287.656
631,1993-08-01,Bageshwar,102.47
632,1993-09-01,Bageshwar,286.179
633,1993-10-01,Bageshwar,0.432
634,1993-11-01,Bageshwar,0.0
635,1993-12-01,Bageshwar,0.094
636,1994-01-01,Bageshwar,9.729
637,1994-02-01,Bageshwar,7.512
638,1994-03-01,Bageshwar,39.751
639,1994-04-01,Bageshwar,18.716
640,1994-05-01,Bageshwar,49.968
641,1994-06-01,Bageshwar,87.803
642,1994-07-01,Bageshwar,384.713
643,1994-08-01,Bageshwar,346.173
644,1994-09-01,Bageshwar,59.602
645,1994-10-01,Bageshwar,0.409
646,1994-11-01,Bageshwar,0.0
647,1994-12-01,Bageshwar,1.167
648,1995-01-01,Bageshwar,53.339
649,1995-02-01,Bageshwar,63.928
650,1995-03-01,Bageshwar,83.36
651,1995-04-01,Bageshwar,21.339
652,1995-05-01,Bageshwar,7.409
653,1995-06-01,Bageshwar,129.351
654,1995-07-01,Bageshwar,283.373
655,1995-08-01,Bageshwar,480.266
656,1995-09-01,Bageshwar,256.496
657,1995-10-01,Bageshwar,1.424
658,1995-11-01,Bageshwar,26.369
659,1995-12-01,Bageshwar,5.905
660,1996-01-01,Bageshwar,59.939
661,1996-02-01,Bageshwar,47.37
662,1996-03-01,Bageshwar,21.124
663,1996-04-01,Bageshwar,20.425
664,1996-05-01,Bageshwar,42.267
665,1996-06-01,Bageshwar,194.153
666,1996-07-01,Bageshwar,302.923
667,1996-08-01,Bageshwar,312.366
668,1996-09-01,Bageshwar,213.593
669,1996-10-01,Bageshwar,45.769
670,1996-11-01,Bageshwar,0.0
671,1996-12-01,Bageshwar,1.545
672,1997-01-01,Bageshwar,24.085
673,1997-02-01,Bageshwar,11.001
674,1997-03-01,Bageshwar,25.124
675,1997-04-01,Bageshwar,7.67
676,1997-05-01,Bageshwar,58.146
677,1997-06-01,Bageshwar,218.344
678,1997-07-01,Bageshwar,91.828
679,1997-08-01,Bageshwar,259.606
680,1997-09-01,Bageshwar,69.35
681,1997-10-01,Bageshwar,45.611
682,1997-11-01,Bageshwar,16.898
683,1997-12-01,Bageshwar,11.998
684,1998-01-01,Bageshwar,15.964
685,1998-02-01,Bageshwar,33.611
686,1998-03-01,Bageshwar,61.814
687,1998-04-01,Bageshwar,50.145
688,1998-05-01,Bageshwar,33.445
689,1998-06-01,Bageshwar,12.45
690,1998-07-01,Bageshwar,353.059
691,1998-08-01,Bageshwar,492.554
692,1998-09-01,Bageshwar,88.421
693,1998-10-01,Bageshwar,35.831
694,1998-11-01,Bageshwar,6.817
695,1998-12-01,Bageshwar,1.379
696,1999-01-01,Bageshwar,12.324
697,1999-02-01,Bageshwar,10.13
698,1999-03-01,Bageshwar,1.691
699,1999-04-01,Bageshwar,1.431
700,1999-05-01,Bageshwar,37.54
701,1999-06-01,Bageshwar,161.086
702,1999-07-01,Bageshwar,125.742
703,1999-08-01,Bageshwar,127.139
704,1999-09-01,Bageshwar,194.031
705,1999-10-01,Bageshwar,45.283
706,1999-11-01,Bageshwar,0.08
707,1999-12-01,Bageshwar,11.706
708,2000-01-01,Bageshwar,14.025
709,2000-02-01,Bageshwar,68.744
710,2000-03-01,Bageshwar,16.04
711,2000-04-01,Bageshwar,9.536
712,2000-05-01,Bageshwar,63.1
713,2000-06-01,Bageshwar,243.649
714,2000-07-01,Bageshwar,200.017
715,2000-08-01,Bageshwar,304.771
716,2000-09-01,Bageshwar,99.397
717,2000-10-01,Bageshwar,1.325
718,2000-11-01,Bageshwar,0.0
719,2000-12-01,Bageshwar,0.52
720,1971-01-01,Chamoli,25.04
721,1971-02-01,Chamoli,31.525
722,1971-03-01,Chamoli,22.924
723,1971-04-01,Chamoli,31.82
724,1971-05-01,Chamoli,160.825
725,1971-06-01,Chamoli,190.175
726,1971-07-01,Chamoli,401.425
727,1971-08-01,Chamoli,299.087
728,1971-09-01,Chamoli,233.696
729,1971-10-01,Chamoli,142.826
730,1971-11-01,Chamoli,15.199
731,1971-12-01,Chamoli,0.325
732,1972-01-01,Chamoli,19.914
733,1972-02-01,Chamoli,43.808
734,1972-03-01,Chamoli,11.74
735,1972-04-01,Chamoli,34.976
736,1972-05-01,Chamoli,20.407
737,1972-06-01,Chamoli,75.793
738,1972-07-01,Chamoli,287.793
739,1972-08-01,Chamoli,239.041
740,1972-09-01,Chamoli,436.168
741,1972-10-01,Chamoli,85.141
742,1972-11-01,Chamoli,11.083
743,1972-12-01,Chamoli,2.99
744,1973-01-01,Chamoli,35.483
745,1973-02-01,Chamoli,23.74
746,1973-03-01,Chamoli,31.434
747,1973-04-01,Chamoli,0.385
748,1973-05-01,Chamoli,35.394
749,1973-06-01,Chamoli,317.629
750,1973-07-01,Chamoli,208.823
751,1973-08-01,Chamoli,403.736
752,1973-09-01,Chamoli,108.012
753,1973-10-01,Chamoli,105.751
